symbol1,symbol2
ZFP36L1,TERF1
ASS1,TERF1
MAPK12,TERF1
SUPT5H,TERF1
ZBTB16,TERF1
UBQLN1,TERF1
SMAD9,TERF1
BLM,TERF1
EEF1D,TERF1
TUBB2A,TERF1
PFN2,TERF1
CAPNS1,TERF1
FBP1,TERF1
NME1-NME2,TERF1
RTN4,TERF1
RIC8A,TERF1
CPNE3,TERF1
WFS1,TERF1
WARS1,TERF1
MDH1,TERF1
RECQL4,TERF1
DDX19B,TERF1
ANXA5,TERF1
EPHX2,TERF1
PPM1G,TERF1
TERF2,TERF1
NOL3,TERF1
PACSIN2,TERF1
LRSAM1,TERF1
AKTIP,TERF1
DNPH1,TERF1
TRMT1,TERF1
LASP1,TERF1
WDR4,TERF1
TMSB4Y,TERF1
ACY1,TERF1
ACD,TERF1
DDX23,TERF1
TBC1D10A,TERF1
FES,TERF1
LMNA,TERF1
GRIN2C,TERF1
ACOT7,TERF1
ARHGDIA,TERF1
SENP8,TERF1
PAK4,TERF1
STIP1,TERF1
ACAT2,TERF1
AHCY,TERF1
UBE2M,TERF1
SBDS,TERF1
DBNL,TERF1
TOMM34,TERF1
NEK7,TERF1
OGFR,TERF1
STAG1,TERF1
PRKCB,TERF1
NF2,TERF1
CRYBB1,TERF1
TRIOBP,TERF1
CASP6,TERF1
HEXIM1,TERF1
RAN,TERF1
GLE1,TERF1
BIN2,TERF1
RNF10,TERF1
H1-1,TERF1
SH3GLB1,TERF1
RBMY1D,TERF1
RBMY1A1,TERF1
HOXA3,TERF1
TNPO2,TERF1
DCX,TERF1
HGD,TERF1
GAMT,TERF1
ANXA8,TERF1
ANXA8L1,TERF1
HMOX2,TERF1
PRDX6,TERF1
LAMP2,TERF1
GSN,TERF1
CRYM,TERF1
SPRED1,TERF1
PGM1,TERF1
SOAT1,TERF1
HCLS1,TERF1
KLHDC4,TERF1
STN1,TERF1
TUBB4B,TERF1
AMPD2,TERF1
DPYSL3,TERF1
BCL7B,TERF1
C12orf43,TERF1
ARPP21,TERF1
CALD1,TERF1
PGLS,TERF1
CEP85,TERF1
HNMT,TERF1
SIRPD,TERF1
MT1X,TERF1
AK1,TERF1
ZNF790,TERF1
TRIM16,TERF1
PAGE2,TERF1
SALL1,TERF1
TERB1,TERF1
TINAG,TERF1
AMPH,PPP3CA
ABL1,PPP3CA
UTRN,PPP3CA
SYNJ1,PPP3CA
CASP3,PPP3CA
TRAF3,PPP3CA
GRB2,PPP3CA
NR3C1,PPP3CA
JUN,PPP3CA
FKBP1A,PPP3CA
STUB1,PPP3CA
PRKCZ,PPP3CA
ADRB2,PPP3CA
BCL2,PPP3CA
PPP3R1,PPP3CA
ERBB3,PPP3CA
PPIA,PPP3CA
C16orf74,PPP3CA
RXRB,PPP3CA
LASP1,PPP3CA
TNS4,PPP3CA
MARCHF7,PPP3CA
NFATC2,PPP3CA
FKBP8,PPP3CA
CRTC2,PPP3CA
RCAN1,PPP3CA
SHANK2,PPP3CA
PPP3CA,PPP3CA
UBE4B,PPP3CA
PTK7,PPP3CA
RCAN2,PPP3CA
MYOZ3,PPP3CA
NFATC1,PPP3CA
FGFR4,PPP3CA
AATK,PPP3CA
AKAP5,PPP3CA
GABRA1,PPP3CA
RYK,PPP3CA
